Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Eirik :)),2023-04-16 19:32:49,00:23:41,,Lucifer: Sesong 3: My Brother's Keeper (Episode 14),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:24:19,Not latest view,NO (Norway)
Eirik :)),2023-04-16 19:27:44,00:04:59,,Lucifer: Sesong 3: 'Til Death Do Us Part (Episode 13),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:43:09,00:43:09,NO (Norway)
Eirik :)),2023-04-16 19:08:48,02:39:15,,Django Unchained,,Safari MAC (Cadmium),02:42:10,02:42:10,NO (Norway)
Eirik :)),2023-04-16 18:02:05,00:29:12,Autoplayed: user action: User_Interaction; ,Lucifer: Sesong 3: 'Til Death Do Us Part (Episode 13),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:38:12,Not latest view,NO (Norway)
Eirik :)),2023-04-16 14:49:38,00:02:55,,Django Unchained,,Safari MAC (Cadmium),00:02:55,Not latest view,NO (Norway)
Eirik :)),2023-04-16 14:47:43,00:00:05,Autoplayed: user action: None; ,Jarhead_hook_03_16x9,HOOK,Safari MAC (Cadmium),00:00:05,00:00:05,NO (Norway)
Eirik :)),2023-04-16 08:53:14,00:08:00,,Lucifer: Sesong 3: 'Til Death Do Us Part (Episode 13),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:08:44,Not latest view,NO (Norway)
Eirik :)),2023-04-16 08:41:33,00:11:35,Autoplayed: user action: User_Interaction; ,Lucifer: Sesong 3: All About Her (Episode 12),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:43:17,00:43:17,NO (Norway)
Eirik :)),2023-04-16 08:40:59,00:00:08,Autoplayed: user action: None; ,Terrorism Close Calls: Season 1_hook_02_16x9,HOOK,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:08,00:00:08,NO (Norway)
Eirik :)),2023-04-15 15:35:33,00:22:03,,Lucifer: Sesong 3: All About Her (Episode 12),,Safari MAC (Cadmium),00:31:45,Not latest view,NO (Norway)
Eirik :)),2023-04-15 15:35:17,00:00:07,Autoplayed: user action: None; ,Lucifer: Season 2_hook_primary_16x9,HOOK,Safari MAC (Cadmium),00:00:07,00:00:07,NO (Norway)
Eirik :)),2023-04-15 15:35:02,00:00:03,,Lucifer: Sesong 3: Mr. and Mrs. Mazikeen Smith (Episode 3),,Safari MAC (Cadmium),00:00:03,00:00:03,NO (Norway)
Eirik :)),2023-04-15 11:33:38,00:07:52,Autoplayed: user action: None; ,Lucifer: Sesong 3: All About Her (Episode 12),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:08:35,Not latest view,NO (Norway)
Eirik :)),2023-04-15 10:49:57,00:42:08,Autoplayed: user action: User_Interaction; ,Lucifer: Sesong 3: City of Angels? (Episode 11),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:43:07,00:43:07,NO (Norway)
Eirik :)),2023-04-15 10:11:55,00:37:31,Autoplayed: user action: User_Interaction; ,Lucifer: Sesong 3: The Sin Bin (Episode 10),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:42:58,00:42:58,NO (Norway)
Eirik :)),2023-04-15 10:04:43,00:07:00,Autoplayed: user action: User_Interaction; ,Lucifer: Sesong 3: The Sinnerman (Episode 9),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:43:10,00:43:10,NO (Norway)
Eirik :)),2023-04-15 10:04:12,00:00:16,Autoplayed: user action: None; ,Designated Survivor (Trailer),TRAILER,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:16,00:00:16,NO (Norway)
Eirik :)),2023-04-14 19:33:56,00:33:50,Autoplayed: user action: User_Interaction; ,Lucifer: Sesong 3: The Sinnerman (Episode 9),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:34:35,Not latest view,NO (Norway)
Eirik :)),2023-04-14 19:10:34,00:22:57,,Lucifer: Sesong 3: Chloe Does Lucifer (Episode 8),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:43:19,00:43:19,NO (Norway)
Eirik :)),2023-04-14 15:03:10,00:17:26,Autoplayed: user action: User_Interaction; ,Lucifer: Sesong 3: Chloe Does Lucifer (Episode 8),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:18:15,Not latest view,NO (Norway)
Eirik :)),2023-04-14 14:19:49,00:43:19,,Lucifer: Sesong 3: Off the Record (Episode 7),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:43:19,00:43:19,NO (Norway)
Eirik :)),2023-04-14 14:02:12,00:17:25,,Lucifer: Sesong 3: Vegas with Some Radish (Episode 6),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:43:21,00:43:21,NO (Norway)
Eirik :)),2023-04-14 09:17:49,00:17:06,,Lucifer: Sesong 3: Vegas with Some Radish (Episode 6),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:25:07,Not latest view,NO (Norway)
Eirik :)),2023-04-14 09:08:01,00:06:42,Autoplayed: user action: User_Interaction; ,Lucifer: Sesong 3: Vegas with Some Radish (Episode 6),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:07:34,Not latest view,NO (Norway)
Eirik :)),2023-04-14 08:58:24,00:09:24,Autoplayed: user action: User_Interaction; ,"Lucifer: Sesong 3: Welcome Back, Charlotte Richards (Episode 5)",,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:43:01,00:43:01,NO (Norway)
Eirik :)),2023-04-12 15:28:54,00:15:21,Autoplayed: user action: User_Interaction; ,"Lucifer: Sesong 3: Welcome Back, Charlotte Richards (Episode 5)",,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:33:36,Not latest view,NO (Norway)
Eirik :)),2023-04-12 15:28:34,00:00:04,Autoplayed: user action: None; ,Miniserie (Klipp): American Manhunt: Boston-bomberen,HOOK,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:04,00:00:04,NO (Norway)
Eirik :)),2023-04-11 20:02:13,00:02:04,,"Lucifer: Sesong 3: Welcome Back, Charlotte Richards (Episode 5)",,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:18:15,Not latest view,NO (Norway)
Eirik :)),2023-04-11 19:28:16,00:10:51,Autoplayed: user action: User_Interaction; ,"Lucifer: Sesong 3: Welcome Back, Charlotte Richards (Episode 5)",,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:16:13,Not latest view,NO (Norway)
